package_id,origin_city,destination_city,region,status,weight_kg,shipping_cost
PKG-000001,Geneva,Antwerp,EU_WEST,Delivered,55.68,81.22
PKG-000002,Zurich,Tirana,EU_NORTH,Delivered,6.75,60.87
PKG-000003,Cologne,Florence,EU_SOUTH,Delayed,17.64,91.74
PKG-000004,Naples,Tirana,EU_NORTH,In-Transit,31.61,85.27
PKG-000005,Amsterdam,Seville,EU_SOUTH,Delivered,52.44,89.9
PKG-000006,Florence,Tampere,EU_NORTH,In-Transit,7.89,56.8
PKG-000007,Warsaw,Edinburgh,EU_WEST,Delayed,60.58,143.56
PKG-000008,Basel,Brno,EU_NORTH,Delayed,6.14,44.9
PKG-000009,Gdańsk,Ankara,EU_NORTH,Delayed,14.62,25.27
PKG-000010,Thessaloniki,Gothenburg,EU_NORTH,Delivered,73.9,169.95
PKG-000011,Brno,Cork,EU_WEST,Delivered,34.14,133.61
PKG-000012,Prague,Kraków,EU_NORTH,Delayed,15.91,50.06
PKG-000013,Munich,Lisbon,EU_SOUTH,In-Transit,40.18,68.03
PKG-000014,Brno,Dublin,EU_WEST,Delayed,74.22,144.39
PKG-000015,Athens,Aarhus,EU_NORTH,Delivered,63.25,151.38
PKG-000016,Paris,Copenhagen,EU_NORTH,Delayed,30.24,38.15
PKG-000017,Copenhagen,Florence,EU_SOUTH,Delayed,49.24,93.83
PKG-000018,Bratislava,Barcelona,EU_SOUTH,Delayed,20.05,51.14
PKG-000019,Skopje,Edinburgh,EU_WEST,Delayed,56.09,103.59
PKG-000020,Bucharest,Gdańsk,EU_NORTH,Delayed,16.64,138.35
PKG-000021,Tallinn,Cologne,EU_WEST,Delivered,56.74,156.06
PKG-000022,Seville,Plovdiv,EU_NORTH,Delayed,44.83,88.78
PKG-000023,Košice,Sarajevo,EU_NORTH,Delivered,19.04,87.07
PKG-000024,Geneva,Skopje,EU_NORTH,In-Transit,56.38,144.65
PKG-000025,Geneva,Gothenburg,EU_NORTH,Delayed,32.75,86.78
PKG-000026,Edinburgh,Tartu,EU_NORTH,Delivered,57.21,114.05
PKG-000027,Oslo,Tartu,EU_NORTH,Delivered,45.77,61.75
PKG-000028,Tirana,Sarajevo,EU_NORTH,In-Transit,68.91,134.95
PKG-000029,Brussels,Geneva,EU_WEST,In-Transit,69.7,169.19
PKG-000030,London,Berlin,EU_WEST,Delivered,18.26,88.1
PKG-000031,Frankfurt,Riga,EU_NORTH,Delayed,61.25,173.92
PKG-000032,Luxembourg City,Vilnius,EU_NORTH,Delayed,71.03,84.69
PKG-000033,Plovdiv,Florence,EU_SOUTH,Delayed,69.69,154.37
PKG-000034,Naples,Bergen,EU_NORTH,In-Transit,30.07,110.66
PKG-000035,Split,Novi Sad,EU_NORTH,Delivered,34.0,63.15
PKG-000036,Tampere,Brussels,EU_WEST,Delivered,44.23,69.71
PKG-000037,Amsterdam,Munich,EU_WEST,Delivered,53.16,56.75
PKG-000038,Paris,Helsinki,EU_NORTH,Delayed,5.55,37.78
PKG-000039,Riga,Florence,EU_SOUTH,Delayed,40.56,125.78
PKG-000040,Ankara,Vilnius,EU_NORTH,In-Transit,18.41,76.91
PKG-000041,Milan,Vienna,EU_WEST,In-Transit,7.5,62.6
PKG-000042,Cluj-Napoca,Košice,EU_NORTH,Delayed,64.82,66.1
PKG-000043,Vienna,Berlin,EU_WEST,Delivered,30.35,71.01
PKG-000044,Manchester,Milan,EU_SOUTH,In-Transit,14.47,70.63
PKG-000045,Rome,Cork,EU_WEST,Delivered,34.83,139.04
PKG-000046,Split,Podgorica,EU_NORTH,Delayed,7.57,89.19
PKG-000047,Rotterdam,Cologne,EU_WEST,Delivered,69.5,165.42
PKG-000048,Cluj-Napoca,Riga,EU_NORTH,Delivered,36.23,139.05
PKG-000049,Lisbon,Brno,EU_NORTH,In-Transit,0.41,51.7
PKG-000050,Stockholm,Plovdiv,EU_NORTH,Delayed,52.32,136.63
PKG-000051,Riga,Valencia,EU_SOUTH,Delivered,14.44,42.9
PKG-000052,Tirana,Berlin,EU_WEST,Delayed,56.16,59.1
PKG-000053,Kaunas,Tartu,EU_NORTH,Delivered,68.97,126.86
PKG-000054,Belgrade,Frankfurt,EU_WEST,Delivered,63.89,67.03
PKG-000055,London,Bucharest,EU_NORTH,Delivered,9.21,119.16
PKG-000056,Lyon,Frankfurt,EU_WEST,Delayed,31.59,101.39
PKG-000057,Copenhagen,Edinburgh,EU_WEST,Delivered,15.52,103.64
PKG-000058,Edinburgh,Debrecen,EU_NORTH,In-Transit,10.03,90.49
PKG-000059,Copenhagen,Munich,EU_WEST,Delayed,0.95,79.85
